Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C31",CP_Elec_10x10.5,4,470uF,C134524
"C106, C107, C108, C206, C207, C208",CP_Elec_5x5.4,6,10uF,C5260729
"C27, C28, C29, C32",1206,4,100nF,C24497
C30,1206,1,10uF,C13585
C33,1206,1,100uF/6.3V,C7432784
"D5, D7, D8",D_SMA,3,1N4004,C433394
D6,D_SMA,1,1N4002,C433393
K1,Relay_DPDT_Omron_G6K-2F-Y,1,G6K-2,
P10,PinSocket_2x09_P2.54mm_Horizontal,1,From Keyboard,C2897429
P8,PinSocket_2x09_P2.54mm_Horizontal,1,From main PCB,C2897429
P9,PinSocket_1x06_P2.54mm_Vertical,1,From Wire,C40877
Q1,SOT-89-3_Handsoldering,1,Q_NPN_BCE,C21714170
"R102, R103, R111, R112, R202, R203, R211, R212",1206,8,47k,C351465
"R104, R204",1206,2,499,C2984516
"R105, R205",1206,2,80.6k,C870898
"R106, R206",1206,2,8.45k,C2092472
"R107, R207",1206,2,2.37k,C870623
"R108, R208",1206,2,54.9k,C870792
"R109, R209",1206,2,4.3k,C870770
"R110, R210",1206,2,2k,C706409
R19,1206,1,5k6,C870816
R20,1206,1,300,C870638
R21,1206,1,1k,C4410
R22,1206,1,100k,C17900
RV1,Potentiometer_Bourns_3314G_Vertical,1,1M,C780218
"U5, U6",D8,2,OPA2134,C87361
U7,TO-263-2,1,LM317_TO-220,C12848
